reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
SK01-RP-LB,https://ikepod.com/en/skypod/109-skypod-sk2.html,,Ikepod,,skypod,Skypod SK01  Eero,,,,EUR,"€8,990.00",https://ikepod.com/1002-large_default/skypod-sk2.jpg,Hong Kong,,,,"Skypod ""Eero"" black dial. Limited edition of 25 models, all numbered 1 OF 25. Titanium case.",46mm case feels 43 (lugless) Grade 3 titanium GMT date chronograph with slide rule. Rubber pin strap.,46mm case feels 43 (lugless) Grade 3 titanium GMT date chronograph with slide rule. Rubber pin strap.,46mm case feels 43 (lugless) Grade 3 titanium GMT date chronograph with slide rule. Rubber pin strap.,"Swiss Made, motorised by Automatic La Joux-Perret 8103 24dt movement, Chronograph GMT, New Old Stock serviced in 2022 by Roland Gloor / Projets Youhr, historical gen2 Ikepod watchmaker. Development and assembly in Switzerland in Gland / VD historical workshop.",,,Sapphire,"Swiss Made, motorised by Automatic La Joux-Perret 8103 24dt movement, Chronograph GMT, New Old Stock serviced in 2022 by Roland Gloor / Projets Youhr, historical gen2 Ikepod watchmaker. Development and assembly in Switzerland in Gland / VD historical workshop.",,46mm case feels 43 (lugless) Grade 3 titanium GMT date chronograph with slide rule. Rubber pin strap.,,"Chrono, date, GMT. Unique look of Megapode Chrono is here enhanced and technically improved. Rubber pin strap available for Skypod customer in re-order.","Chrono, date, GMT. Unique look of Megapode Chrono is here enhanced and technically improved. Rubber pin strap available for Skypod customer in re-order.","Chrono, date, GMT. Unique look of Megapode Chrono is here enhanced and technically improved. Rubber pin strap available for Skypod customer in re-order.","Movements are NOS, serviced, cases, dials, hands are 2022 production.","Movements are NOS, serviced, cases, dials, hands are 2022 production.",,,,46mm case feels 43 (lugless) Grade 3 titanium GMT date chronograph with slide rule. Rubber pin strap.,46mm case feels 43 (lugless) Grade 3 titanium GMT date chronograph with slide rule. Rubber pin strap.,
SK02-RP-LB,https://ikepod.com/en/skypod/108-skypod-sk01.html,,Ikepod,,skypod,Skypod SK02 Mårten,,,,EUR,"€8,990.00",https://ikepod.com/1001-thickbox_default/skypod-sk01.jpg,Hong Kong,,,,"Skypod blue ""Mårten"". Limited edition of 25 models, all numbered 1 OF 25. Dial is blue . Titanium case.",46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,Dial designed by Claesson Koivisto Rune. ,,,Sapphire,Dial designed by Claesson Koivisto Rune. ,,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,,"Swiss Made, motorised by La Joux-Perret 8103 24dt Automatic movement, Chronograph GMT, New Old Stock serviced in 2022 by Roland Gloor / Projets Youhr, historical gen2 Ikepod watchmaker. Development and assembly in Switzerland in Gland / VD historical workshop.","Swiss Made, motorised by La Joux-Perret 8103 24dt Automatic movement, Chronograph GMT, New Old Stock serviced in 2022 by Roland Gloor / Projets Youhr, historical gen2 Ikepod watchmaker. Development and assembly in Switzerland in Gland / VD historical workshop.","Swiss Made, motorised by La Joux-Perret 8103 24dt Automatic movement, Chronograph GMT, New Old Stock serviced in 2022 by Roland Gloor / Projets Youhr, historical gen2 Ikepod watchmaker. Development and assembly in Switzerland in Gland / VD historical workshop.","Chrono, date, GMT. Unique look of Megapode Chrono is here enhanced and technically improved. Pin rubber strap available for re-order.","Chrono, date, GMT. Unique look of Megapode Chrono is here enhanced and technically improved. Pin rubber strap available for re-order.",,,,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,
SK02-RP-LB,https://ikepod.com/en/skypod/128-skypod-sk01.html,,Ikepod,,skypod,Skypod SK03 Ola,,,,EUR,"€8,990.00",https://ikepod.com/1012-thickbox_default/skypod-sk01.jpg,Hong Kong,,,,"Skypod brown Ola. Limited edition of 25 models, all numbered 1 OF 25. Brown dial",46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,"Swiss Made, motorised by La Joux-Perret 8103 24dt Automatic movement, Chronograph GMT, New Old Stock serviced in 2022 by Roland Gloor / Projets Youhr, historical gen2 Ikepod watchmaker. Development and assembly in Switzerland in Gland / VD historical workshop.",,,Sapphire,"Swiss Made, motorised by La Joux-Perret 8103 24dt Automatic movement, Chronograph GMT, New Old Stock serviced in 2022 by Roland Gloor / Projets Youhr, historical gen2 Ikepod watchmaker. Development and assembly in Switzerland in Gland / VD historical workshop.",,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,,"Chrono, date, GMT. Unique look of Megapode Chrono is here enhanced and technically improved. Pin rubber strap available for re-order.","Chrono, date, GMT. Unique look of Megapode Chrono is here enhanced and technically improved. Pin rubber strap available for re-order.","Chrono, date, GMT. Unique look of Megapode Chrono is here enhanced and technically improved. Pin rubber strap available for re-order.","Movement are NOS, serviced, cases, dials, hands are 2022 production.","Movement are NOS, serviced, cases, dials, hands are 2022 production.",,,,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,46mm feels 43mm (lugless) automatic titanium grade 3 chrono gmt date watch. ,
D003-SI-LB,https://ikepod.com/en/duopod/16-duopod-gold-dots.html,,Ikepod,,duopod,DUOPOD GOLD DOTS 003,,,,EUR,€650.00,https://ikepod.com/973-thickbox_default/duopod-gold-dots.jpg,Hong Kong,,,,,": 42 mm, feels 39mm on the wrist","42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort. Not the Ye models but look, alike, same style","42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort. Not the Ye models but look, alike, same style",: 15.9,,,sapphire,"The dial prefered by Emmaneul Gueit, designer of our Quartz watches.",,"The dial prefered by Emmaneul Gueit, designer of our Quartz watches.",,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,"Miyota Japanese movement 2 hands, no running second","Miyota Japanese movement 2 hands, no running second",,,,This two-hand model powered by a quartz Miyota movement ,This two-hand model powered by a quartz Miyota movement ,
D008-SI-LB,https://ikepod.com/en/duopod/27-duopod-midnight-blue.html,,Ikepod,,duopod,DUOPOD MIDNIGHT BLUE 008,,,,EUR,€650.00,https://ikepod.com/975-thickbox_default/duopod-midnight-blue.jpg,Hong Kong,,,,,": 42 mm, feels 39mm on the wrist",42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort.,42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort.,: 15.9,,,sapphire,A deep illuminous blue design both versatile and descreet.,,A deep illuminous blue design both versatile and descreet.,,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,"Miyota Japanese movement 2 hands, no running second","Miyota Japanese movement 2 hands, no running second",,,,This two-hand model powered by a quartz Miyota movement ,This two-hand model powered by a quartz Miyota movement ,
D005-SI-LB,https://ikepod.com/en/duopod/28-duopod-staying-alive.html,,Ikepod,,duopod,DUOPOD STAYING ALIVE 005,,,,EUR,€650.00,https://ikepod.com/917-thickbox_default/duopod-staying-alive.jpg,Hong Kong,,,,,": 42 mm, feels 39mm on the wrist",42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort.,42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort.,: 15.9,,,sapphire,"A version which revisits contemporary timepiece codes, brushed steel dial. For style addicts.",,"A version which revisits contemporary timepiece codes, brushed steel dial. For style addicts.",,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,"Miyota Japanese movement 2 hands, no running second","Miyota Japanese movement 2 hands, no running second",,,,This two-hand model powered by a quartz Miyota movement ,This two-hand model powered by a quartz Miyota movement ,
D016-SI-LB,https://ikepod.com/en/duopod/29-duopod-white-line.html,,Ikepod,,duopod,DUOPOD WHITE LINES 016,,,,EUR,€650.00,https://ikepod.com/976-thickbox_default/duopod-white-line.jpg,Hong Kong,,,,,": 42 mm, feels 39mm on the wrist",42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort.,42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort.,: 15.9,,,sapphire,"Pure and simple design, superluminova hands highlighted in orange, gun index.",,"Pure and simple design, superluminova hands highlighted in orange, gun index.",,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,"Miyota Japanese movement 2 hands, no running second","Miyota Japanese movement 2 hands, no running second",,,,This two-hand model powered by a quartz Miyota movement ,This two-hand model powered by a quartz Miyota movement ,
D004-SI-LB,https://ikepod.com/en/duopod/30-duopod-dots.html,,Ikepod,,duopod,DUOPOD DOTS 004,,,,EUR,€650.00,https://ikepod.com/922-thickbox_default/duopod-dots.jpg,Hong Kong,,,,,": 42 mm, feels 39mm on the wrist",42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort.,42mm lugs to lugs feels 39mm on the wrist. Domed back case for great wearing comfort.,: 15.9,,,sapphire,"The Duopod which defined the comeback of the Ikepod, total tribute.",,"The Duopod which defined the comeback of the Ikepod, total tribute.",,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,: silicone strap with ardillon buckle,"Miyota Japanese movement 2 hands, no running second","Miyota Japanese movement 2 hands, no running second",,,,This two-hand model powered by a quartz Miyota movement ,This two-hand model powered by a quartz Miyota movement ,
DTC1-SI-LB / DTC2-SI-LB / DTC3-SI-LB,https://ikepod.com/en/duopod/94-duopod-x-tom-christopher.html,,Ikepod,,duopod,Duopod X Tom Christopher,,,,EUR,€890.00,https://ikepod.com/765-thickbox_default/duopod-x-tom-christopher.jpg,Hong Kong,,,,,,,,,,,,,,"Stainless steel case, 42mm diameter, quartz movement. Silicone black men strap. Engraved back with artwork title and numbered 1 of 37 (37 models per dial are 111 watches in total plus 4 Artist Proof out of trade).",,"Stainless steel case, 42mm diameter, quartz movement. Silicone black men strap. Engraved back with artwork title and numbered 1 of 37 (37 models per dial are 111 watches in total plus 4 Artist Proof out of trade).","Stainless steel case, 42mm diameter, quartz movement. Silicone black men strap. Engraved back with artwork title and numbered 1 of 37 (37 models per dial are 111 watches in total plus 4 Artist Proof out of trade).","Stainless steel case, 42mm diameter, quartz movement. Silicone black men strap. Engraved back with artwork title and numbered 1 of 37 (37 models per dial are 111 watches in total plus 4 Artist Proof out of trade).","Stainless steel case, 42mm diameter, quartz movement. Silicone black men strap. Engraved back with artwork title and numbered 1 of 37 (37 models per dial are 111 watches in total plus 4 Artist Proof out of trade).","Stainless steel case, 42mm diameter, quartz movement. Silicone black men strap. Engraved back with artwork title and numbered 1 of 37 (37 models per dial are 111 watches in total plus 4 Artist Proof out of trade).",,,,"Stainless steel case, 42mm diameter, quartz movement. Silicone black men strap. Engraved back with artwork title and numbered 1 of 37 (37 models per dial are 111 watches in total plus 4 Artist Proof out of trade).","Stainless steel case, 42mm diameter, quartz movement. Silicone black men strap. Engraved back with artwork title and numbered 1 of 37 (37 models per dial are 111 watches in total plus 4 Artist Proof out of trade).",
,https://ikepod.com/en/duopod/97-special-3-duopod-tom-christopher-set.html,,Ikepod,,duopod,Special 3 Duopod Tom Christopher set,,,,EUR,,https://ikepod.com/761-thickbox_default/special-3-duopod-tom-christopher-set.jp,Hong Kong,,,,,,,,,,,,,,The latest collab with NYC painter Tom Christopher. To spread joy. The box is vey simple and in recycled carboard hand made in France.,,The latest collab with NYC painter Tom Christopher. To spread joy. The box is vey simple and in recycled carboard hand made in France.,The latest collab with NYC painter Tom Christopher. To spread joy. The box is vey simple and in recycled carboard hand made in France.,The latest collab with NYC painter Tom Christopher. To spread joy. The box is vey simple and in recycled carboard hand made in France.,The latest collab with NYC painter Tom Christopher. To spread joy. The box is vey simple and in recycled carboard hand made in France.,The latest collab with NYC painter Tom Christopher. To spread joy. The box is vey simple and in recycled carboard hand made in France.,,,,The latest collab with NYC painter Tom Christopher. To spread joy. The box is vey simple and in recycled carboard hand made in France.,The latest collab with NYC painter Tom Christopher. To spread joy. The box is vey simple and in recycled carboard hand made in France.,
